id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
76490,174706,The Intruder,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46492,118946,The Journey: Alice In Chains,NULL,1999-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
182277,15430,The King of Fighters '99: Millennium Battle,NULL,1999-01-22 00:00:00.000,6,NULL,NULL,NULL,76.9989,35
167094,45861,The King of Fighters: Dream Match 1999,NULL,1999-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
189016,3140,The Legend of Dragoon,NULL,1999-12-02 00:00:00.000,17,NULL,NULL,NULL,83.8816,61
177889,39416,The Legend of Silkroad,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174928,895,The Longest Journey,"With the power to pass between worlds like others pass from waking to sleep, April must embark on the longest journey of her life; a journey not only across twin worlds, but also into her very own heart and soul. Embark on a voyage across phenomenal worlds, encounter a fantastic cast of unforgettable characters, and unravel one of the most epic stories ever told.",1999-11-19 00:00:00.000,61,NULL,90.0000,1,83.4709,152
71315,73464,The Magic School Bus Explores the World of Animals,NULL,1999-04-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102044,1753,The Misadventures of Tron Bonne,NULL,1999-07-22 00:00:00.000,1,NULL,NULL,NULL,69.9186,6
10084,3162,The Monkey Wrench Conspiracy,"The Monkey Wrench Conspiracy transports you into an intergalactic world where the evil ""Dr. Monkey Wrench"" has hijacked the Copernicus space station. As Moldey the secret agent dispatched to deep space to rescue the hijacked space station, you must design everything you need to survive and carry out your mission starting with the simple trigger you'll need to destroy your opponent. If your design is flawed, your fate is doomed!",1999-12-30 00:00:00.000,2,1,NULL,NULL,NULL,NULL
159191,66499,The Mystic Dragoons,NULL,1999-06-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86683,5915,The New Adventures of Mary-Kate & Ashley,NULL,1999-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56724,3339,The New Tetris,NULL,1999-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
57227,51179,The Next Tetris,NULL,1999-01-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
39752,823,The Operational Art of War II: Modern Battles 1956-2000,NULL,1999-04-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
50026,50185,The Queen of Heart '99 ~Dream Match Never Ends~,NULL,1999-12-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
